feature_name,feature_tag,Name,Address,Longitude,Latitude
mynews,convenience_store,myNEWS @ AEON Bukit Indah (G Floor),"LOT G41, AEON BUKIT INDAH SHOPPING CENTRE, NO 8, JALAN INDAH 15/2, BUKIT INDAH",103.65615,1.482208
mynews,convenience_store,myNEWS @ AEON Kempas (G Floor) ,"LOT G-02, AEON MALL KEMPAS, NO.3, JALAN DATO ONN, BANDAR DATO ONN",103.7350412,1.5639165
mynews,convenience_store,myNEWS @ AEON Tebrau City (G Floor),"LOT G38, AEON TEBRAU CITY STORE & SHOPPING CENTRE, NO 1, JALAN DESA TEBRAU, TAMAN DESA TEBRAU",103.796804,1.549699
mynews,convenience_store,myNEWS (Maru Kafe) @ Arked Meranti UTM Skudai (G Floor),"LOT G-01, ARKED MERANTI UTM SKUDAI, JALAN UNIVERSITI",103.633513,1.559672
mynews,convenience_store,myNEWS @ Bandar Seri Alam,"NO. 55 (GROUND FLOOR & SUB-BASEMENT) JALAN BINA 1, BANDAR SERI ALAM",103.873438,1.505245
mynews,convenience_store,myNEWS @ Baypoint Shopping Mall (G Floor) ,"G-42, NO. 01-01 BAYPOINT SHOPPING MALL, PERSIARAN DANGA PERDANA COUNTRY GARDEN DANGA BAY",103.728926,1.464299
mynews,convenience_store,myNEWS (Maru Kafe) @ Desaru Utama,"NO.101, JALAN JELUTONG 1, TAMAN DESARU UTAMA",104.214017,1.57347
mynews,convenience_store,myNEWS @ Eco Curve JB (G Floor),"NO. 8 & #08-01, ECO CURVE JALAN EKOPERNIAGAAN 1/3 TAMAN EKOPERNIAGAAN",103.722665,1.578886
mynews,convenience_store,myNEWS @ Giant Plentong (G Floor),"LOT R58 & R59, GIANT HYPERMARKET PLENTONG NO. 3, JALAN MASAI LAMA MUKIM PLENTONG",103.8145482,1.5283188
mynews,convenience_store,myNEWS (Maru Kafe) @ Jalan Bakri Muar,"NO. 82-13 (1ST FLOOR, 2ND FLOOR, 3RD FLOR) JALAN BAKRI",102.592511,2.048044
mynews,convenience_store,myNEWS (Maru Kafe) @ Jalan Trus JB,"NO. 4, 5, 6 & 7 (GROUND FLOOR) JALAN TRUS",103.7632975,1.461265811
mynews,convenience_store,myNEWS (Maru Kafe) @ Kampung Masjid Lama,"NO 25, GROUND FLOOR JALAN LANG SAT",103.3189357,2.037931473
mynews,convenience_store,myNEWS @ Komtar JBCC (G Floor),"LOT NO. KG-1A, GROUND FLOOR, KOMTAR JBCC",103.7640179,1.4617565
mynews,convenience_store,myNEWS (Maru Kafe) @ Kota Tinggi Johor,"NO. 17, (GROUND FLOOR) JALN SERI WARISAN KOTA HERITAGE COMMERCIAL CENTRE",103.9057017,1.74918006
mynews,convenience_store,myNEWS @ Little Red Cube (G Floor) ,"LOT 4C, GROUND FLOOR, LITTLE RED CUBE, PERSIARAN PUTERI SELATAN, PUTERI HARBOUR",103.6576916,1.4164165
mynews,convenience_store,myNEWS @ Medini Mall (G Floor),"LOT G17 & G18, GROUND FLOOR, MALL OF MEDINI, NO. 4, LEBUH MEDINI UTARA, MEDINI ISKANDAR",103.632393,1.428412
mynews,convenience_store,myNEWS (Maru Kafe) @ Mount Austin JB,"NO. 49-G, JALAN MUTIARA EMAS 9/3 TAMAN MOUNT AUSTIN",103.7881732,1.546655897
mynews,convenience_store,myNEWS @ Pangsapuri Seri Kencana Setia (G Floor),"SHOP NO. 2, #01-03, BLOCK A PANGSAPURI SERI KENCANA SETIA JALAN STOREY, BUKIT SENYUM",103.762476,1.471088
mynews,convenience_store,myNEWS @ Paradigm Mall JB (4th Floor) ,"4F-23, PARADIGM MALL JOHOR BAHRU, JALAN SKUDAI",103.685767,1.515153
mynews,convenience_store,myNEWS (Maru Kafe) @ Pekan Muar,"LOT 1260, 14 JALAN HAJI ABU",102.568394,2.047635
mynews,convenience_store,myNEWS @ Phoenix JB,"LOT NO. H1.2F, PHOENIX HOTEL, JALAN FOREST CITY 1 PULAU SATU, GELANG PATAH","", 
mynews,convenience_store,myNEWS @ Plaza Angsana (1st Floor),"L1.37, L1, PLAZA ANGSANA, PUSAT BANDAR TAMPOI, JALAN SKUDAI",103.705764,1.49513
mynews,convenience_store,myNEWS @ PLUS R&R Gelang Patah (Southbound),"GPHSB-OL19, KM 4.9 LEBUHRAYA UTARA-SELATAN KAWASN REHAT DAN RAWAT GELANG PATAH ARAH UTARA GELANG PATAH",103.152057,1.945459
mynews,convenience_store,myNEWS @ Pusat Komersial Sunway Marketplace,"LOT G-L-15, GROUND FLOOR, PUSAT KOMERSIAL SUNWAY MARKETPLACE, SUNWAY BIG BOX PERSIARAN MEDINI 6, SUNWAY ISKANDAR",103.628495,1.398809
mynews,convenience_store, myNEWS (Maru Kafe) @ Pusat Perdagangan Pontian Johor ," NO. 10, GROUND FLOOR JALAN DELIMA PUSAT PERDAGANGAN PONTIAN ",103.3898206,1.47903758
mynews,convenience_store,SUPERVALUE @ Pusat Perdagangan Sri Mersing,NO. 12 (G-FLOOR) & 13 (G-FLOOR) JALAN SRI MERSING 1 PUSAT PERDAGANGAN SRI MERSING,103.8334,2.4388 
mynews,convenience_store,myNEWS @ R&F Mall (G Floor) ,"LOT G-080 & G-081, GROUND FLOOR R&F MALL, MERCU 1, JALAN TANJUNG PUTERI 1 R&F MALL TANJUNG PUTERI",103.768252,1.45984
mynews,convenience_store,myNEWS @ R&R Pagoh (Northbound),"LOT R1, KWS REHAT & RAWAT PAGOH ARAH UTARA, SIMPANG AMPAT PAGOH, LEBUHRAYA UTARA SELATAN",102.7935147,2.122322
mynews,convenience_store,myNEWS (Maru Kafe) @ Segamat Johor ,"SHOPS NO. 23 & 25, GROUND FLOOR JALAN UTAMA 3/1 PUSAT KOMERSIAL SRI UTAMA",102.8229405,2.513235656
mynews,convenience_store,myNEWS (Maru Kafe) @ Setia Tropika JB,"NO. 42 (GF), JALAN SETIA TROPIKA 1/18 TAMAN SETIA TROPIKA JOHOR BAHRU",103.716359,1.547027
mynews,convenience_store,myNEWS (SUPERVALUE) @ Sri Tgh Kluang,"No.10, G Floor Jalan Lada Hitam, Taman Sri Tengah",103.34865,2.05477
mynews,convenience_store,myNEWS @ Taman Daya JB,"NO. 3, BLOCK E PUSAT PERNIAGAAN TAMAN DAYA JALAN DAYA, TAMAN DAYA",103.758494,1.566544
mynews,convenience_store,myNEWS (Maru Kafe) @ Taman Desa Terbrau JB,NO. 37 (GROUND FLOOR) JALAN HARMONIUM 35/1 TAMAN DESA TEBRAU,103.7900358,1.556523938
mynews,convenience_store,myNEWS (Maru Kafe) @ Taman Eco Casadia JB,NO. 23 (GROUND FLOOR) JALAN ECO CASCADIA 6/1 TAMAN ECO CASCADIA,103.7596642,1.583046194
mynews,convenience_store,myNEWS (Maru Kafe) @ Taman Flora Utama Batu Pahat,"36, JALAN FLORA UTAMA 8 TAMAN FLORA UTAMA",102.950041,1.867734
mynews,convenience_store,"myNEWS (SUPERVALUE) @ Taman Impian Emas, Johor",NO 4 & 6 (GROUND FLOOR) JALAN IMPIAN EMAS 4 TAMAN IMPIAN EMAS,"",""
mynews,convenience_store,myNEWS (Maru Kafe) @ Taman Molek JB,"NO. 51, JALAN MOLEK 1/29 TAMAN MOLEK",103.786854,1.525348
mynews,convenience_store,myNEWS @ Taman Mutira Mas ,"NO. 22, GROUND FLOOR, JALAN MUTIARA 1/1, TAMAN MUTIARA MAS",103.8171891,1.5868087
mynews,convenience_store,myNEWS @ Taman Nusa Puncak,"11 (GF), PUNCAK 1 TAMAN NUSA PUNCAK JALAN NUSA PERINDUSTRIAN",103.598207,1.442142
mynews,convenience_store,myNEWS @ Taman Nusantara,"LOT 02-01 (GROUND FLOOR), JALAN NUSARIA 11/6, TAMAN NUSANTARA",103.5840533,1.4596256
mynews,convenience_store,myNEWS (Maru Kafe) @ Taman Sutera Utama Skudai,"NO. 45, JALAN SUTERA TANJUNG 8/3 TAMAN SUTERA UTAMA",103.6679737,1.516546246
mynews,convenience_store,myNEWS (Maru Kafe) @ Tangkak Johor,"NO.7, JALAN MUAR",101.441962,3.064716
mynews,convenience_store,myNEWS (Maru Kafe) @ Teega Puteri Harbour (G Floor),"LOT R-GL-17, GROUND LEVEL, TOWER A TEEGA PUTERI HARBOUR, ISKANDAR PUTERI JALAN LAKSAMANA 1, PUTERI HARBOUR, ISKANDAR PUTERI",103.653335,1.415352
mynews,convenience_store,myNEWS (Maru Kafe) @ Tepian Sungai Mersing,"NO. 60, JALAN SULAIMAN BANDAR TEPIAN SUNGAI",103.836252,2.431717
mynews,convenience_store,myNEWS @ Tesco Bukit Indah (1st Floor) ,"LOT F13, FIRST FLOOR, TESCO BUKIT INDAH, NO. 1, JALAN INDAH 15, BUKIT INDAH,",103.662865,1.481873
