feature_name,Name,Address,Latitude,Longitude
CU, CU@Alor Setar,"NO. 48 (GF), TAMAN GUNUNG INDAH JALAN KUALA KEDAH, , 05400  ALOR SETAR, KEDAH",6.096797172225901,100.35679224889525
CU, CU@Bukit Baru ," PUSAT NIAGA NO,5-2, JALAN PNBBU 1, JALAN UTAMA, , 75150 BUKIT BARU , MELAKA",2.2165749307179476,102.27048392286524
CU, CU@Kuala Ketil,"108 & 109, PERSIARAN KKCC 2, COMMERCIAL CENTRE,, 09300 KUALA KETIL,  KEDAH",5.6051911453632055,100.64059232894348
CU, CU@Riverfront Sungai Petani,"No.101, Tingkat, 1, Jalan Mawar 2, Taman Pekan Baru,,  08000 SUNGAI PETANI, KEDAH",5.640101740221939, 100.48100229403929
CU, CU@Setia Alam,"10-G-58, JLN SETIA GEMILANG BM U13/BM, 40170 SETIA ALAM, SELANGOR",3.127528241500311,101.46854321857083
CU, CU@Solaria Square,"G-7, Solaria Square, Jalan Tun Dr Awang, , 11900 Bayan Lepas, Penang",5.300151153309237,100.26621723952547
CU, CU@Sri Damansara,"No 16, Jalan Tanjung SD 13/1,, 52200 BANDAR SRI DAMANSARA, KUALA LUMPUR",3.1883843254715436,101.60544583013595
CU, CU@Subang Skypark,"M17, Sultan Abdul Aziz Shah Airport, Terminal, Lapangan Terbang Sultan Abdul Aziz Shah,, 47200 SUBANG, SELANGOR",3.133490761825774,101.55378750285068
CU,CU@1 Utama,"LOT F202 & F203 1ST FLOOR, 1 UTAMA SHOPPING CENTRE BANDAR UTAMA, 47800 petaling jaya, selangor",3.149061760451449,101.61614724965175
CU,CU@Alor Gajah,"KM 8-1, Jalan Perniagaan Jelatang 1, Pusat Perniagaan Jelatang, 78000  ALOR GAJAH, MELAKA",2.3847046273035777,102.21644068317967
CU,CU@Amerin Mall,"LOT G-7 & G-8, THE AMERIN MALL JALAN IMPIAN INDAH , 43300 Seri Kembangan, Selangor",3.0250011461785795,101.75113124000033
CU,CU@Arkadia Desa Parkcity,"Unit F-G-10, Plaza Arkadia, No. 3, Jalan Intisari Perdana, Desa Parkcity, 52200 Kuala Lumpur, Kuala Lumpur",3.1864229723830615,101.63613751692182
CU,CU@Avenue K,"C03B & C-3C, LEVEL CONCOURSE AVENUE K, 156 JALAN AMPANG AVENUE K SHOPPING MALL, 50450 Kuala Lumpur, Kuala Lumpur",3.15948952633391,101.71354125492283
CU,CU@Awana Skyway,"LOT NO. 2-4, LEVEL 2 AWANA SKYWAY STATION , 69000 Genting Highlands, pahang",3.4037526475224413,101.78288109294623
CU,CU@Bahau,"No. 10E, Jalan Kiara 1, Pusat Perniagaan Kiara, 72100 Bahau, Negeri Sembilan",2.8100254522205903,102.39573483572435
CU,CU@Bandar 2 Bukit Jalil,"LOT NO. 1.37.00, LEVEL 1 PUSAT BANDAR 2, PERSIARAN JALIL UTAMA , 57000 Bukit Jalil, Kuala Lumpur",3.049827986732248,101.67139676986446
CU,CU@Bandar Baru Kampar,"NO. 2246, JALAN BATU SINAR TAMAN BANDAR BARU , 31900 Kampar, Perak",4.326149188321749, 101.1450267733269
CU,CU@Bandar Baru Uda Johor Bahru,"NO. 8-G & 10-G, JALAN PADI 6/1 BANDAR BARU UDA , 81200 Johor Bahru, Johor ",1.4999239848419095,103.70831827853964
CU,CU@Bandar Damai Perdana,"No. 20, Jalan Damai Perdana 1/9a, Bandar Damai Perdana,, 56100 Kuala Lumpur, Kuala Lumpur",3.045894499926404,101.73928413695234
CU,CU@Bandar Mahkota Cheras,"No.45-G, Jalan Temenggung 11/9, , 43200 BANDAR MAHKOTA CHERAS, SELANGOR ",3.0534490833769694,101.78886212040621
CU,CU@Bandar Menjalara,"65, GROUND FLOOR JALAN 3/62A , 52200 Bandar Menjalara, Kuala Lumpur",3.195120191173609,101.63095893787512
CU,CU@Bandar Perda Bukit Mertajam,"NO. 456, JALAN PERMATANG RAWA BANDAR PERDA , 14000 Bukit Mertajam, Penang",5.365699086800761,100.43618170505435
CU,CU@Bandar Puteri Puchong,"NO. 22A, GROUIND FLOOR, JALAN PUTERI 1/4 DATARAN PUTERI, BANDAR PUTERI, 47000 PUCHONG SELANGOR, 47000 Puchong, Selangor",3.0264200845456255,101.61686399789048
CU,CU@Bandar Tasik Puteri Rawang,"NO. 58-G-A & 58-G-B (GF) JALAN 7A/2, BANDAR TASIK PUTERI , 48000 rawang, Selangor",3.2842382689296525,101.4731406132781
CU,CU@Bandar Utama Batang Kali,"69-1, Jalan Ara 2, Pusat Perdagangan Ara Seksyen 5, Bandar Utama Batang Kali, , 44300 BATANG KALI, SELANGOR",3.4546728109335874,101.66249215589768
CU,CU@Bendahara,"UNIT 16 & UNIT 18 JALAN BENDAHARA 1A TAMAN BENDAHARA, 45000 KUALA SELANGOR, SELANGOR",3.3220383245654297,101.2670590119774
CU,CU@Bintang Ria,"NO 29, JALAN BINTANG RIA 2, TAMAN BINTANG RIA, , 86200 SIMPANG RENGGAM,  JOHOR",1.8301618382129619,103.30794159176567
CU,CU@Bukit Dahlia Johor,"NO. 28, JALAN SERANGKAI 18 TAMAN BUKIT DAHLIA, 81700 Pasir Gudang, Johor",1.4785915874169986,103.89398406826331
CU,CU@Bukit Sentosa Rawang,"NO. 15 (GF), JALAN ORKID 1F/1 BUKIT SENTOSA, 48300 Rawang, selangor",3.4034532389056165,101.55968925098476
CU,CU@Butterworth Business City Centre Butterworth,"NO. 22 (GF) BUTTERWORTH BUSINESS CITY CTR JALAN RAJA UDA,, 12300 Butterworth, Penang",5.41581006804063,100.38059496140725
CU,CU@Centre Point Bandar Utama,"LOT G03 & G03a, GROUND FLOOR CENTRE POINT, NO. 3, LEBUH BANDAR UTAMA BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR, 47800 Petaling Jaya, selangor",3.138409703761769,101.61013271746435
