feature_name,feature_tag,Name,Address,Latitude,Longitude,Location (CS),State,Nearest(poi)
mixstore,convenience_store,MiX Flagship Store @ Seremban S2 Height 👑,"No.114, S2 Height, Jalan Pusat Komersial Saujana 3, Pusat Komersial Saujana, 70300 Seremban, Negeri Sembilan",2.7080887,101.8853589,Seremban S2 Height 👑,Negeri Sembilan,"['Al-Zain Restaurant', '中华医药针灸所', 'Haval Seremban S2 Heights']"
mixstore,convenience_store,MiX Store @ Seremban Lobak,"No.18, Jalan PKL 2, Pusat Komersial Lobak 2, 70200 Seremban,  Negeri Sembilan.",2.7269811,101.9235111,Seremban Lobak,Negeri Sembilan,"['SMK Puteri', 'SK Puteri', 'Nene Cookies & Cafe']"
mixstore,convenience_store,MiX Flagship Store @ Alor Setar👑,"No.35, Jalan Cheah Toon Lok, Taman Pesisiran Tanjung Chali, 05000 Alor Setar, Kedah. (Pekan Cina)",6.1170563,100.3612813,Alor Setar👑,Kedah,"['Sarawak Kolo Mee', 'Laksa Tepi Sungai', 'Dataran Tanjung Chali']"
mixstore,convenience_store,MiX Store @ Sungai Petani,"143a, Jalan Mawar 2, Taman Pekan Baru, 08000 Sungai Petani, Kedah, Malaysia",5.6398553,100.4791247,Sungai Petani,Kedah,"['BBQ Seoul Restaurant', 'Tong De Lai Steamboat 彤德莱麻辣火锅', ""Brother's Car Wash""]"
mixstore,convenience_store,MiX Store @ Kulim,"NO. 41, JALAN KLC 5, KULIM LANDMARK CENTRAL, 09000 KULIM, KEDAH.",5.4010926,100.5137794,Kulim,Kedah,['newplace']
mixstore,convenience_store,MiX Store @ Kampar,"2368 (Ground floor), Jalan Hala Timah 3, Taman Bandar Baru, 31900 Kampar, Perak.",4.3284188,101.1421792,Kampar,Perak,"['Rainbow Walkway', 'Westlake Lakeside', 'Ghany Corner']"
mixstore,convenience_store,MiX Store @ Ipoh,"No.1-21, Jalan Mustapha Al-Bakry, Taman Jubilee, 30300 Ipoh, Negeri Perak",4.5955029,101.0112901,Ipoh,Perak,['newplace']
mixstore,convenience_store,MiX Store @ Ipoh,"38, Jalan Medan Ipoh 5, Bandar Baru Medan Ipoh, 31400 Ipoh, Perak.",4.60632,101.0515392,Ipoh,Perak,"['Restaurant Chap Heng', 'K-One Industry Sdn Bhd', 'Danny Seafood Restaurant']"
mixstore,convenience_store,MiX Store @ Melaka,"No.1, Jalan Merdeka, Taman Melaka Raya 75000",2.1864947,102.2579347,Melaka,Melaka,"['Italy Bakery Melaka Raya', '永平西刀魚丸']"
mixstore,convenience_store,MiX Flagship Store @ Kuantan Jalan Mahkota 👑,"No.38,  Jalan Mahkota, 25000 Kuantan, Pahang.",3.8067662,103.3261978,Kuantan Jalan Mahkota 👑,Pahang,"['Padang Iftar (MPK)', 'Padang MPK 1', 'Museo Cafe']"
mixstore,convenience_store,MiX Store @ Kuantan Alor Akar (Jalan Beserah),"A 4146,Taman Kuan San,Jalan Beserah, 25300 Kuantan, Pahang.",3.829459,103.3406858,Kuantan Alor Akar (Jalan Beserah),Pahang,"['The Zone Hair Studio', 'Yaw Child Specialist Clinic', 'FlowerWorks Florist & Gifts']"
mixstore,convenience_store,MiX Store @ Bentong,"No. 112, Jalan Loke Yew, 28700 Bentong Pahang",3.5257607,101.905087,Bentong,Pahang,"['Hospital Bentong', 'Unit Kecemasan', 'Kecemasan & Trauma Hospital Bentong']"
mixstore,convenience_store,MiX Store @ Raub,"No.3, Jalan Tun Razak, 27600 Raub, Pahang.",3.7931842,101.8571631,Raub,Pahang,"['Kedai Gunting Rambut Kanna', 'HSBC Raub', 'Pasaraya Yong']"
